Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
12,train,0.001,76.6,0.611,0.701,
12,val,,67.6,0.844,0.701,
13,train,0.001,76.8,0.607,0.701,
13,val,,67.6,0.847,0.701,
14,train,0.001,76.84,0.603,0.701,
14,val,,67.8,0.834,0.701,
15,train,0.001,77.96,0.588,0.701,
15,val,,68.0,0.833,0.701,
16,train,0.001,75.4,0.617,0.701,
16,val,,67.2,0.835,0.701,
17,train,0.001,78.36,0.567,0.701,
17,val,,68.6,0.839,0.701,
18,train,0.001,78.16,0.58,0.701,
18,val,,67.2,0.837,0.701,
19,train,0.001,77.12,0.579,0.701,
19,val,,70.2,0.83,0.701,
20,train,0.001,76.88,0.589,0.701,
20,val,,69.6,0.838,0.701,
0,val,,69.6,0.838,0.701,
1,train,0.001,76.88,0.593,0.753,
1,val,,61.2,1.041,0.753,
2,train,0.001,73.36,0.685,0.786,
2,val,,61.6,1.089,0.786,
3,train,0.001,70.76,0.738,0.798,
3,val,,60.6,1.052,0.798,
4,train,0.001,72.12,0.717,0.801,
4,val,,65.2,0.915,0.801,
5,train,0.001,73.24,0.701,0.801,
5,val,,64.6,0.868,0.801,
6,train,0.001,73.64,0.679,0.801,
6,val,,65.8,0.866,0.801,
7,train,0.001,74.92,0.658,0.801,
7,val,,66.2,0.886,0.801,
8,train,0.001,75.68,0.658,0.801,
8,val,,67.0,0.861,0.801,
9,train,0.001,74.44,0.643,0.801,
9,val,,65.6,0.875,0.801,
10,train,0.001,75.44,0.644,0.801,
10,val,,66.2,0.873,0.801,
11,train,0.001,75.6,0.644,0.801,
11,val,,65.4,0.866,0.801,
12,train,0.001,75.6,0.647,0.801,
12,val,,67.0,0.871,0.801,
13,train,0.001,74.96,0.631,0.801,
13,val,,66.2,0.882,0.801,
14,train,0.001,75.48,0.63,0.801,
14,val,,66.4,0.851,0.801,
15,train,0.001,75.92,0.626,0.801,
15,val,,66.2,0.862,0.801,
16,train,0.001,75.16,0.641,0.801,
16,val,,66.2,0.861,0.801,
17,train,0.001,76.76,0.602,0.801,
17,val,,67.0,0.866,0.801,
18,train,0.001,76.44,0.619,0.801,
18,val,,67.2,0.874,0.801,
19,train,0.001,76.8,0.603,0.801,
19,val,,67.8,0.862,0.801,
20,train,0.001,75.32,0.617,0.801,
20,val,,67.0,0.863,0.801,
0,val,,67.0,0.863,0.801,
1,train,0.001,75.8,0.616,0.853,
